"","retail","date","grocery","parks","transit","workplace","residential"
"122",146,"2022-06-17",201,1161,-8,-26,11
"123",171,"2022-06-24",227,1264,11,-34,10
"124",192,"2022-07-01",239,2076,69,-113,6
"125",187,"2022-07-08",248,1717,51,-99,9
"126",208,"2022-07-15",259,2092,62,-83,4
"127",207,"2022-07-22",256,2155,73,-89,16
"128",216,"2022-07-29",286,2269,75,-94,8
"129",217,"2022-08-05",283,2393,117,-132,12
"130",206,"2022-08-12",278,1937,117,-86,11
"131",202,"2022-08-19",279,1986,89,-78,23
"132",212,"2022-08-26",277,2065,113,-70,21
"133",224,"2022-09-02",290,1932,141,-64,8
"134",169,"2022-09-09",257,1670,99,-110,11
"135",180,"2022-09-16",266,1426,114,-41,4
"136",167,"2022-09-23",336,1376,31,-67,22
"137",89,"2022-09-30",154,1022,-70,-176,9
"138",178,"2022-10-07",274,1342,103,-19,6
"139",88,"2022-10-14",193,1104,77,-90,17
